,date,supply
784,2015-06-21,14291525.0
785,2015-06-22,14301625.0
786,2015-06-23,14301625.0
787,2015-06-24,14301625.0
788,2015-06-25,14312975.0
789,2015-06-26,14312975.0
790,2015-06-27,14312975.0
791,2015-06-28,14323550.0
792,2015-06-29,14323550.0
793,2015-06-30,14323550.0
794,2015-07-01,14334175.0
795,2015-07-02,14334175.0
796,2015-07-03,14334175.0
797,2015-07-04,14345600.0
798,2015-07-05,14345600.0
799,2015-07-06,14345600.0
800,2015-07-07,14357175.0
801,2015-07-08,14357175.0
802,2015-07-09,14357175.0
803,2015-07-10,14368375.0
804,2015-07-11,14368375.0
805,2015-07-12,14368375.0
806,2015-07-13,14379075.0
807,2015-07-14,14379075.0
808,2015-07-15,14379075.0
809,2015-07-16,14389800.0
810,2015-07-17,14389800.0
811,2015-07-18,14389800.0
812,2015-07-19,14400975.0
813,2015-07-20,14400975.0
814,2015-07-21,14400975.0
815,2015-07-22,14411750.0
816,2015-07-23,14411750.0
817,2015-07-24,14411750.0
818,2015-07-25,14423500.0
819,2015-07-26,14423500.0
820,2015-07-27,14423500.0
821,2015-07-28,14434375.0
822,2015-07-29,14434375.0
823,2015-07-30,14434375.0
824,2015-07-31,14445000.0
825,2015-08-01,14445000.0
826,2015-08-02,14445000.0
827,2015-08-03,14456700.0
828,2015-08-04,14456700.0
829,2015-08-05,14456700.0
830,2015-08-06,14466950.0
831,2015-08-07,14466950.0
832,2015-08-08,14466950.0
833,2015-08-09,14477800.0
834,2015-08-10,14477800.0
835,2015-08-11,14477800.0
836,2015-08-12,14489475.0
837,2015-08-13,14489475.0
838,2015-08-14,14489475.0
839,2015-08-15,14499900.0
840,2015-08-16,14499900.0
841,2015-08-17,14499900.0
842,2015-08-18,14510800.0
843,2015-08-19,14510800.0
844,2015-08-20,14510800.0
845,2015-08-21,14522325.0
846,2015-08-22,14522325.0
847,2015-08-23,14522325.0
848,2015-08-24,14533500.0
849,2015-08-25,14533500.0
850,2015-08-26,14533500.0
851,2015-08-27,14544550.0
852,2015-08-28,14544550.0
853,2015-08-29,14544550.0
854,2015-08-30,14556000.0
855,2015-08-31,14556000.0
856,2015-09-01,14556000.0
857,2015-09-02,14567625.0
858,2015-09-03,14567625.0
859,2015-09-04,14567625.0
860,2015-09-05,14578975.0
861,2015-09-06,14578975.0
862,2015-09-07,14578975.0
863,2015-09-08,14589825.0
864,2015-09-09,14589825.0
865,2015-09-10,14589825.0
866,2015-09-11,14601900.0
867,2015-09-12,14601900.0
868,2015-09-13,14601900.0
869,2015-09-14,14612775.0
870,2015-09-15,14612775.0
871,2015-09-16,14612775.0
872,2015-09-17,14624100.0
873,2015-09-18,14624100.0
874,2015-09-19,14624100.0
875,2015-09-20,14634000.0
876,2015-09-21,14634000.0
877,2015-09-22,14634000.0
878,2015-09-23,14645050.0
879,2015-09-24,14645050.0
880,2015-09-25,14645050.0
881,2015-09-26,14656525.0
882,2015-09-27,14656525.0
883,2015-09-28,14656525.0
884,2015-09-29,14667925.0
885,2015-09-30,14667925.0
886,2015-10-01,14667925.0
887,2015-10-02,14678775.0
888,2015-10-03,14678775.0
889,2015-10-04,14678775.0
890,2015-10-05,14690050.0
891,2015-10-06,14690050.0
892,2015-10-07,14690050.0
893,2015-10-08,14700575.0
894,2015-10-09,14700575.0
895,2015-10-10,14700575.0
896,2015-10-11,14711375.0
897,2015-10-12,14711375.0
898,2015-10-13,14711375.0
899,2015-10-14,14722025.0
900,2015-10-15,14722025.0
901,2015-10-16,14722025.0
902,2015-10-17,14733250.0
903,2015-10-18,14733250.0
904,2015-10-19,14733250.0
905,2015-10-20,14744150.0
906,2015-10-21,14744150.0
907,2015-10-22,14744150.0
908,2015-10-23,14755550.0
909,2015-10-24,14755550.0
910,2015-10-25,14755550.0
