,date,close
1258,2016-10-07,617.12
1259,2016-10-08,619.11
1260,2016-10-09,616.75
1261,2016-10-10,618.99
1262,2016-10-11,641.07
1263,2016-10-12,636.19
1264,2016-10-13,636.79
1265,2016-10-14,640.38
1266,2016-10-15,638.65
1267,2016-10-16,641.63
1268,2016-10-17,639.19
1269,2016-10-18,637.96
1270,2016-10-19,630.52
1271,2016-10-20,630.86
1272,2016-10-21,632.83
1273,2016-10-22,657.29
1274,2016-10-23,657.07
1275,2016-10-24,653.76
1276,2016-10-25,657.59
1277,2016-10-26,678.3
1278,2016-10-27,688.31
1279,2016-10-28,689.65
1280,2016-10-29,714.48
1281,2016-10-30,701.86
1282,2016-10-31,700.97
1283,2016-11-01,729.79
1284,2016-11-02,740.83
1285,2016-11-03,688.7
1286,2016-11-04,703.23
1287,2016-11-05,703.42
1288,2016-11-06,711.52
1289,2016-11-07,703.13
1290,2016-11-08,709.85
1291,2016-11-09,723.27
1292,2016-11-10,715.53
1293,2016-11-11,716.41
1294,2016-11-12,705.05
1295,2016-11-13,702.03
1296,2016-11-14,705.02
1297,2016-11-15,711.62
1298,2016-11-16,744.2
1299,2016-11-17,740.98
1300,2016-11-18,751.59
1301,2016-11-19,751.62
1302,2016-11-20,731.03
1303,2016-11-21,739.25
1304,2016-11-22,751.35
1305,2016-11-23,744.59
1306,2016-11-24,740.29
1307,2016-11-25,741.65
1308,2016-11-26,735.38
1309,2016-11-27,732.03
1310,2016-11-28,735.81
1311,2016-11-29,735.6
1312,2016-11-30,745.69
1313,2016-12-01,756.77
1314,2016-12-02,777.94
1315,2016-12-03,771.16
1316,2016-12-04,773.87
1317,2016-12-05,758.7
1318,2016-12-06,764.22
1319,2016-12-07,768.13
1320,2016-12-08,770.81
1321,2016-12-09,772.79
1322,2016-12-10,774.65
1323,2016-12-11,769.73
1324,2016-12-12,780.09
1325,2016-12-13,780.56
1326,2016-12-14,781.48
1327,2016-12-15,778.09
1328,2016-12-16,784.91
1329,2016-12-17,790.83
1330,2016-12-18,790.53
1331,2016-12-19,792.71
1332,2016-12-20,800.88
1333,2016-12-21,834.28
1334,2016-12-22,864.54
1335,2016-12-23,921.98
1336,2016-12-24,898.82
1337,2016-12-25,896.18
1338,2016-12-26,907.61
1339,2016-12-27,933.2
1340,2016-12-28,975.92
1341,2016-12-29,973.5
1342,2016-12-30,961.24
1343,2016-12-31,963.74
1344,2017-01-01,998.33
1345,2017-01-02,1021.75
1346,2017-01-03,1043.84
1347,2017-01-04,1154.73
1348,2017-01-05,1013.38
1349,2017-01-06,902.2
1350,2017-01-07,908.59
1351,2017-01-08,911.2
1352,2017-01-09,902.83
1353,2017-01-10,907.68
1354,2017-01-11,777.76
1355,2017-01-12,804.83
1356,2017-01-13,823.98
1357,2017-01-14,818.41
1358,2017-01-15,821.8
1359,2017-01-16,831.53
1360,2017-01-17,907.94
1361,2017-01-18,886.62
1362,2017-01-19,899.07
1363,2017-01-20,895.03
1364,2017-01-21,921.79
1365,2017-01-22,924.67
1366,2017-01-23,921.01
1367,2017-01-24,892.69
1368,2017-01-25,901.54
1369,2017-01-26,917.59
1370,2017-01-27,919.75
1371,2017-01-28,921.59
1372,2017-01-29,919.5
1373,2017-01-30,920.38
1374,2017-01-31,970.4
1375,2017-02-01,989.02
1376,2017-02-02,1011.8
1377,2017-02-03,1029.91
1378,2017-02-04,1042.9
1379,2017-02-05,1027.34
1380,2017-02-06,1038.15
1381,2017-02-07,1061.35
1382,2017-02-08,1063.07
1383,2017-02-09,994.38
1384,2017-02-10,988.67
1385,2017-02-11,1004.45
1386,2017-02-12,999.18
1387,2017-02-13,990.64
1388,2017-02-14,1004.55
1389,2017-02-15,1007.48
1390,2017-02-16,1027.44
