date,close,open,high,low,,
"Jul 01, 2016","1,383.20","1,383.20","1,383.20","1,383.20",,
"Jun 30, 2016","1,363.90","1,363.90","1,363.90","1,363.90",,
"Jun 29, 2016","1,370.30","1,370.30","1,370.30","1,370.30",,
"Jun 28, 2016","1,361.10","1,361.10","1,361.10","1,361.10",,
"Jun 27, 2016","1,367.70","1,367.70","1,367.70","1,367.70",,
"Jun 24, 2016","1,365.70","1,363.00","1,363.00","1,363.00",,
"Jun 23, 2016","1,306.60","1,306.60","1,306.60","1,306.60",,
"Jun 22, 2016","1,311.70","1,311.70","1,311.70","1,311.70",,
"Jun 21, 2016","1,314.20","1,314.20","1,314.20","1,314.20",,
"Jun 20, 2016","1,333.80","1,322.40","1,336.20","1,322.40",,
"Jun 17, 2016","1,333.90","1,326.30","1,326.50","1,326.30",,
"Jun 16, 2016","1,336.60","1,336.60","1,336.60","1,336.60",,
"Jun 15, 2016","1,326.00","1,326.00","1,326.00","1,326.00",,
"Jun 14, 2016","1,325.60","1,325.60","1,325.60","1,325.60",,
"Jun 13, 2016","1,328.10","1,328.10","1,328.10","1,328.10",,
"Jun 10, 2016","1,317.00","1,317.00","1,317.00","1,317.00",,
"Jun 09, 2016","1,313.70","1,313.70","1,313.70","1,313.70",,
"Jun 08, 2016","1,303.30","1,303.30","1,303.30","1,303.30",,
"Jun 07, 2016","1,288.10","1,288.10","1,288.10","1,288.10",,
"Jun 06, 2016","1,288.70","1,288.70","1,288.70","1,288.70",,
"Jun 03, 2016","1,283.90","1,283.90","1,283.90","1,283.90",,
"Jun 02, 2016","1,254.20","1,254.20","1,254.20","1,254.20",,
"Jun 01, 2016","1,256.50","1,256.50","1,256.50","1,256.50",,
"May 31, 2016","1,258.60","1,258.60","1,258.60","1,258.60",,
"May 30, 2016","1,212.15","1,208.25","1,213.15","1,201.80",,
"May 27, 2016","1,256.90","1,256.90","1,256.90","1,256.90",,
"May 26, 2016","1,262.90","1,262.90","1,262.90","1,262.90",,
"May 25, 2016","1,266.70","1,266.70","1,266.70","1,266.70",,
"May 24, 2016","1,272.00","1,272.00","1,272.00","1,272.00",,
"May 23, 2016","1,294.20","1,294.20","1,294.20","1,294.20",,
"May 20, 2016","1,295.20","1,295.20","1,295.20","1,295.20",,
