,date,close,open,high,low,day
1355,2018-06-20,1325.3,1328.1,1328.1,1323.0,2
1356,2018-06-21,1321.0,1315.1,1321.5,1315.1,3
1357,2018-06-22,1321.3,1320.5,1320.5,1320.0,4
1358,2018-06-25,1319.2,1320.2,1320.2,1317.2,0
1359,2018-06-26,1309.6,1314.0,1314.0,1309.4,1
1360,2018-06-27,1305.7,1307.8,1307.8,1304.5,2
1361,2018-06-28,1300.2,1301.1,1301.1,1301.1,3
1362,2018-06-29,1303.9,1302.0,1304.1,1299.5,4
1363,2018-07-02,1289.9,1300.0,1300.0,1300.0,0
1364,2018-07-03,1302.4,1288.5,1305.1,1288.5,1
1365,2018-07-04,1258.1,1256.2,1262.4,1255.3,2
1366,2018-07-05,1307.6,1307.9,1307.9,1305.4,3
1367,2018-07-06,1304.8,1305.5,1305.5,1305.5,4
1368,2018-07-09,1309.0,1303.5,1313.5,1303.5,0
1369,2018-07-10,1305.1,1310.1,1310.1,1304.1,1
1370,2018-07-11,1293.3,1290.7,1290.7,1290.7,2
1371,2018-07-12,1295.4,1292.4,1295.4,1291.5,3
1372,2018-07-13,1289.7,1290.0,1290.1,1287.9,4
1373,2018-07-16,1288.2,1289.9,1289.9,1288.9,0
1374,2018-07-17,1275.3,1288.3,1292.4,1276.1,1
1375,2018-07-18,1275.7,1271.1,1272.1,1268.9,2
1376,2018-07-19,1271.1,1265.9,1265.9,1262.9,3
1377,2018-07-20,1277.5,1264.6,1278.0,1264.6,4
1378,2018-07-23,1271.4,1278.5,1278.5,1270.3,0
1379,2018-07-24,1271.5,1270.0,1272.0,1265.9,1
1380,2018-07-25,1277.4,1275.8,1278.5,1275.0,2
1381,2018-07-26,1271.8,1271.8,1271.8,1271.8,3
1382,2018-07-27,1269.3,1265.1,1270.1,1265.1,4
1383,2018-07-30,1268.0,1268.3,1268.3,1268.3,0
1384,2018-07-31,1270.1,1268.1,1272.0,1260.0,1
1385,2018-08-01,1264.3,1263.4,1263.4,1261.9,2
1386,2018-08-02,1256.5,1262.8,1263.4,1253.5,3
1387,2018-08-03,1259.7,1249.5,1264.5,1249.5,4
1388,2018-08-06,1254.1,1260.1,1260.1,1254.0,0
1389,2018-08-07,1254.7,1257.5,1259.6,1255.5,1
1390,2018-08-08,1257.3,1256.8,1256.8,1256.8,2
1391,2018-08-09,1256.3,1256.3,1256.3,1256.3,3
1392,2018-08-10,1255.1,1251.0,1260.0,1251.0,4
1393,2018-08-13,1234.6,1251.5,1251.5,1236.2,0
1394,2018-08-14,1236.4,1236.7,1237.6,1236.4,1
1395,2018-08-15,1220.2,1230.0,1230.2,1217.1,2
1396,2018-08-16,1219.2,1211.1,1223.1,1208.6,3
