,date,supply,open,close,high,low,market_cap,spread
1281,2016-10-30,15956400.0,714.12,701.86,714.12,696.47,11194834676,17.649999999999977
1282,2016-10-31,15956400.0,702.64,700.97,709.29,691.68,11181852070,17.610000000000014
1283,2016-11-01,15962137.5,701.34,729.79,736.45,701.34,11642863554,35.110000000000014
1284,2016-11-02,15962137.5,730.07,740.83,740.83,722.35,11820110421,18.480000000000018
1285,2016-11-03,15962137.5,742.35,688.7,745.77,678.16,10989660280,67.61000000000001
1286,2016-11-04,15967187.5,689.12,703.23,706.93,685.56,11222575748,21.370000000000005
1287,2016-11-05,15967187.5,703.53,703.42,707.51,697.74,11226736982,9.769999999999982
1288,2016-11-06,15967187.5,703.81,711.52,714.26,699.56,11357385316,14.700000000000045
1289,2016-11-07,15972762.5,710.74,703.13,710.74,699.9,11224670783,10.840000000000032
1290,2016-11-08,15972762.5,703.09,709.85,712.99,702.39,11333339468,10.600000000000023
1291,2016-11-09,15972762.5,709.83,723.27,740.05,708.61,11548965779,31.43999999999994
1292,2016-11-10,15978812.5,722.84,715.53,723.02,711.21,11426817526,11.809999999999945
1293,2016-11-11,15978812.5,715.55,716.41,718.32,714.41,11442241390,3.910000000000082
1294,2016-11-12,15978812.5,716.75,705.05,717.15,704.03,11262273136,13.120000000000005
1295,2016-11-13,15984725.0,705.2,702.03,705.26,687.32,11215181107,17.93999999999994
1296,2016-11-14,15984725.0,702.0,705.02,706.28,699.81,11271073434,6.470000000000027
1297,2016-11-15,15984725.0,705.79,711.62,715.72,705.26,11377924616,10.460000000000036
1298,2016-11-16,15990962.5,711.17,744.2,747.61,709.04,11900441939,38.57000000000005
1299,2016-11-17,15990962.5,744.88,740.98,755.65,739.51,11850398479,16.139999999999986
1300,2016-11-18,15990962.5,740.71,751.59,752.88,736.89,12021432968,15.990000000000009
1301,2016-11-19,15996575.0,751.83,751.62,756.24,744.47,12023262925,11.769999999999982
1302,2016-11-20,15996575.0,751.88,731.03,755.48,717.94,11695081878,37.539999999999964
1303,2016-11-21,15996575.0,731.27,739.25,741.72,730.51,11827902946,11.210000000000036
1304,2016-11-22,16001587.5,739.64,751.35,753.87,736.53,12022735372,17.340000000000032
1305,2016-11-23,16001587.5,751.74,744.59,752.25,738.92,11916054235,13.330000000000041
1306,2016-11-24,16001587.5,744.62,740.29,746.83,733.49,11848658575,13.340000000000032
1307,2016-11-25,16007350.0,740.44,741.65,741.65,734.59,11871816579,7.059999999999945
1308,2016-11-26,16007350.0,741.51,735.38,742.21,729.63,11772895899,12.580000000000041
1309,2016-11-27,16007350.0,735.44,732.03,739.02,731.09,11720648987,7.92999999999995
1310,2016-11-28,16013112.5,732.48,735.81,738.01,732.48,11782628755,5.529999999999973
1311,2016-11-29,16013112.5,736.33,735.6,737.47,734.56,11780661280,2.910000000000082
1312,2016-11-30,16013112.5,736.28,745.69,747.93,736.27,11943536630,11.659999999999968
1313,2016-12-01,16018575.0,746.05,756.77,758.28,746.05,12122431239,12.230000000000018
1314,2016-12-02,16018575.0,757.54,777.94,781.3,757.54,12462935160,23.75999999999999
1315,2016-12-03,16018575.0,778.25,771.16,778.25,764.86,12355811709,13.389999999999986
1316,2016-12-04,16024362.5,771.64,773.87,773.87,768.16,12400766376,5.710000000000036
1317,2016-12-05,16024362.5,773.39,758.7,773.47,751.71,12159115875,21.75999999999999
1318,2016-12-06,16024362.5,758.72,764.22,765.62,758.72,12249086971,6.899999999999977
1319,2016-12-07,16030312.5,764.21,768.13,771.54,759.75,12313376414,11.789999999999964
1320,2016-12-08,16030312.5,768.08,770.81,774.7,765.95,12357837893,8.75
1321,2016-12-09,16030312.5,769.94,772.79,774.53,769.65,12390863077,4.8799999999999955
1322,2016-12-10,16035612.5,773.02,774.65,777.09,772.91,12421967470,4.180000000000064
1323,2016-12-11,16035612.5,774.75,769.73,774.8,765.41,12344888048,9.389999999999986
1324,2016-12-12,16035612.5,770.04,780.09,781.92,770.04,12512497969,11.879999999999995
1325,2016-12-13,16042125.0,780.65,780.56,788.46,777.96,12521776922,10.5
1326,2016-12-14,16042125.0,780.01,781.48,782.03,776.84,12534369129,5.189999999999941
1327,2016-12-15,16042125.0,780.07,778.09,781.43,777.8,12484761985,3.6299999999999955
1328,2016-12-16,16047112.5,778.96,784.91,785.03,778.96,12595490539,6.069999999999936
1329,2016-12-17,16047112.5,785.17,790.83,792.51,784.86,12691945028,7.649999999999977
1330,2016-12-18,16047112.5,791.01,790.53,794.74,788.03,12688510068,6.710000000000036
1331,2016-12-19,16052562.5,790.69,792.71,793.61,790.32,12725090633,3.2899999999999636
1332,2016-12-20,16052562.5,792.25,800.88,801.34,791.5,12857473134,9.840000000000032
1333,2016-12-21,16052562.5,800.64,834.28,834.28,799.41,13395445163,34.870000000000005
1334,2016-12-22,16058262.5,834.18,864.54,875.78,834.15,13882988216,41.629999999999995
1335,2016-12-23,16058262.5,864.89,921.98,925.12,864.68,14807189352,60.440000000000055
1336,2016-12-24,16058262.5,922.18,898.82,923.48,886.34,14436754927,37.139999999999986
1337,2016-12-25,16063937.5,899.65,896.18,899.65,862.42,14396194094,37.23000000000002
1338,2016-12-26,16063937.5,896.91,907.61,913.18,896.9,14581389977,16.279999999999973
1339,2016-12-27,16063937.5,908.35,933.2,940.05,904.26,14994286713,35.789999999999964
1340,2016-12-28,16069712.5,934.83,975.92,975.92,934.83,15682769405,41.08999999999992
1341,2016-12-29,16069712.5,975.13,973.5,979.4,954.5,15645617392,24.899999999999977
1342,2016-12-30,16069712.5,972.53,961.24,972.53,934.83,15450507055,37.69999999999993
1343,2016-12-31,16075400.0,960.63,963.74,963.74,947.24,15492554222,16.5
1344,2017-01-01,16075400.0,963.66,998.33,1003.08,958.7,16050407461,44.379999999999995
